0, 0, "Store Department1"
1, 1005, "BISCOTTI"
3, 1010, "MERENDINE             "
5, 1005, "PASTICCERIA IND.      "
7, 1005, "CARAMELLE/PROD.       "
9, 1005, "PRODOTTI BASE C       "
11, 1005, "CREME SPALMABIL       "
15, 1005, "SNACK SALATI          "
17, 1005, "ZUCCHERO E DOLCIF.    "
19, 1005, "MIELE                 "
21, 1005, "PREPARATI PER DOLCI   "
23, 1005, "ALIMENTI INFANZIA"
25, 1005, "SALUTISTICI           "
26, 1005, "ALIMENTI SALUTISTICI  "
27, 1005, "CAFFE'                "
29, 1005, "INFUSI                "
30, 1005, "PASTA DI SEMOLA       "
32, 1005, "PASTA ALL'UOVO        "
33, 1005, "SPECIALITA' ESTERE    "
35, 1005, "OLIO DI OLIVA         "
36, 1005, "PREPARATI PRIMA COLAZ "
37, 1005, "OLIO DI SEMI          "
38, 1005, "CEREALI PRIMA COLAZ   "
39, 1005, "ACETI/ALTRI CONDIMENT "
43, 1010, "CONSERVE POMODORO     "
45, 1005, "CONS. DI VERD.E LEGU  "
46, 1010, "FETTE BISCOTTATE      "
47, 1005, "SOTTOLI/SOTTACETI     "
49, 1005, "CONSERVE DI FRUTTA    "
51, 1005, "CONSERVE DI CARNE     "
52, 1005, "RICORRENZE NATALE     "
53, 1005, "CONSERVE DI PESCE     "
54, 1005, "RICORRENZE PASQUA     "
57, 1005, "SALSE                 "
59, 1005, "CONDIMENTI PRONTI     "
61, 1005, "FARINA                "
63, 1005, "RISO                  "
66, 1005, "INSAPORITORI          "
67, 1005, "ALIMENTI PREPARATI    "
69, 1010, "SOSTITUTIVI DEL PANE  "
71, 1005, "ACQUE                 "
73, 1005, "BIBITE                "
75, 1005, "SUCCHI FRUTTA         "
77, 1005, "BIRRE"
80, 1005, "BEVANDE LEG. ALCOOL.  "
81, 1005, "SPUMANTI              "
83, 1005, "APERITIVI             "
85, 1005, "LIQUORI/DISTILL       "
88, 1005, "CONF. REGALO BEVANDE  "
91, 1005, "DETERG. STOVIGL       "
93, 1005, "DETERGENTI SUPE       "
94, 1005, "VINI DA TAVOLA        "
96, 1005, "VINI TIPICI           "
108, 1005, "DETERGENZA TESSUTI    "
109, 1005, "IGIENE ORALE          "
110, 1005, "CURA TESSUTI          "
113, 1005, "PROD. PER CAPEL       "
116, 1005, "DEODORANTI AMBIENTI   "
117, 1005, "PROFUMERIA / CO       "
118, 1005, "INSETTICIDI/REPULSIVI "
119, 1005, "PRODOTTI BAGNO        "
121, 1005, "PROD. SANITARI        "
122, 1005, "TOVAGLIE E TOVAGLIOLI "
123, 1005, "CARTA IGIENICA        "
125, 1005, "INTIMI / ASSORB       "
126, 1005, "ASCIUGATUTTO          "
127, 1005, "PROD.PRIMA INFA       "
130, 1005, "SOLARI                "
131, 1005, "ALIMENTI PER CANI     "
132, 1005, "TRATTAMENTO CORPO VI. "
133, 1005, "ALIMENTI PER GATTI    "
